PG_Name,Country,City,Price_per_Month
Sky Habitat 540,India,Mumbai,12000
Harmony Villa 425,India,Mumbai,30000
Lotus Habitat 359,India,Mumbai,10000
Elite Residency 96,India,Mumbai,20000
Crystal Suites 507,India,Mumbai,18000
Oak Residency 923,India,Delhi,18000
Lotus Residency 573,India,Delhi,6000
Metro Habitat 588,India,Delhi,20000
Metro Stay 779,India,Delhi,6000
Aurora Living 648,India,Delhi,10000
Aurora Stay 238,India,Bangalore,18000
Emerald Haven 418,India,Bangalore,6000
Harmony Living 713,India,Bangalore,10000
Grand Heights 31,India,Bangalore,25000
Maple Haven 314,India,Bangalore,6000
Crystal Living 757,India,Hyderabad,15000
Green Homes 679,India,Hyderabad,12000
Golden Habitat 648,India,Hyderabad,8000
Metro Nest 999,India,Hyderabad,18000
Aurora Habitat 880,India,Hyderabad,25000
Metro Homes 11,India,Chennai,8000
Green Villa 299,India,Chennai,15000
Green Habitat 104,India,Chennai,25000
Sunset Nest 674,India,Chennai,25000
Green Living 703,India,Chennai,25000
Sunset Residency 510,India,Ahmedabad,18000
Urban Living 490,India,Ahmedabad,18000
Sky Heights 405,India,Ahmedabad,6000
Prime Suites 386,India,Ahmedabad,30000
Vista Homes 282,India,Ahmedabad,18000
Golden Nest 147,USA,NewYork,10000
Emerald Stay 516,USA,NewYork,15000
Urban Heights 572,USA,NewYork,25000
Emerald Haven 914,USA,NewYork,15000
Royal Homes 807,USA,NewYork,8000
Maple Suites 423,USA,Chicago,15000
Golden Haven 712,USA,Chicago,20000
Urban Homes 516,USA,Chicago,10000
Crystal Villa 475,USA,Chicago,25000
Emerald Homes 628,USA,Chicago,8000
Serene Habitat 820,USA,Houston,20000
Oak Homes 176,USA,Houston,10000
Royal Living 346,USA,Houston,20000
Grand Living 636,USA,Houston,20000
Pearl Living 70,USA,Houston,10000
Grand Homes 206,USA,LosAngeles,30000
Elite Residency 857,USA,LosAngeles,30000
Elite Suites 7,USA,LosAngeles,20000
Sunset Heights 240,USA,LosAngeles,25000
Royal Residency 344,USA,LosAngeles,6000
Golden Stay 200,USA,Seattle,15000
Blue Stay 52,USA,Seattle,15000
Grand Villa 602,USA,Seattle,25000
Sunset Stay 637,USA,Seattle,15000
